Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
MDG,1998-01-01,1998-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,USD,61.7299309170,X
MDG,1999-01-01,1999-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,USD,58.6899838175,X
MDG,2000-01-01,2000-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,USD,58.3901099755,X
MDG,2001-01-01,2001-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,USD,64.3524656421,X
MDG,2002-01-01,2002-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,USD,71.5207646627,X
MDG,2003-01-01,2003-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,USD,81.0972337402,X
MDG,2004-01-01,2004-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,USD,61.4223520819,X
MDG,2005-01-01,2005-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,USD,67.7973013918,X
MDG,2006-01-01,2006-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,USD,70.6619854385,X
MDG,2007-01-01,2007-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,USD,88.5523163786,X
MDG,2008-01-01,2008-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,USD,104.4027398086,X
MDG,2009-01-01,2009-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,USD,97.4934964353,X
MDG,2010-01-01,2010-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,USD,100.5793807207,X
MDG,2011-01-01,2011-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,USD,114.5801428637,X
MDG,2012-01-01,2012-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,USD,111.4922940844,X
MDG,2013-01-01,2013-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,USD,116.9346998004,X
MDG,2014-01-01,2014-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,USD,114.0615573934,X
MDG,2015-01-01,2015-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,USD,100.0000000000,X
